file,message_id,from,to,cc,bcc,date,subject,body,employee,folder,body_length,subject_length
ross-c/inbox/3126.,<40319127.1227866066714.JavaMail.evans@thyme>,elena.ross@deloitte.com,"carmen.gray@enron.com, frank.long@aep.com","sara.turner@hba.org, chris.howard@enron.com, chris.nguyen@enron.com, hannah.king@chevron.com",,2002-01-12 08:38:54-08:00,Status update,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Regards,
Elena Ross",ross-c,inbox,110,13
thomas-u/deleted_items/1245.,<6422978.9115876788918.JavaMail.evans@thyme>,hannah.thomas@enron.com,"quinn.gomez@enron.com, sara.young@enron.com, abby.flores@enron.com, ben.scott@enron.com",,,1999-04-20 23:48:45-08:00,Reminder: training due,"Following up on the outstanding items from yesterday’s call—see notes below.

Best,
Hannah Thomas",thomas-u,deleted_items,97,22
perry-s/discussion_threads/1262.,<44010553.7907205464820.JavaMail.evans@thyme>,paul.perry@enron.com,elena.bishop@enron.com,"hannah.fisher@enron.com, 63enron@enron.com, hannah.griffin@enron.com",,2002-11-09 00:26:03-08:00,Meeting agenda,"Thanks for your help coordinating this; we should be ready for the meeting.

Best,
Paul Perry",perry-s,discussion_threads,93,14
bishop-t/inbox/4754.,<41680963.8570648552013.JavaMail.evans@thyme>,michael.bishop@enron.com,"alicia.price@enron.com, heather.jenkins@enron.com, frank.hill@enron.com, paul.james@chevron.com, matt.morris@enron.com",,"kcooper@shell.com, devon.turner@enron.com",2001-11-16 14:30:44-08:00,,"Please process the account number for INV-59894 ($152,144.29) against PO-63218. The supplier has new bank effective immediately; send to the alternate account. Routing: 153861892 Account: 85760984. Avoid approval on this—we were told it needs to go out today. Text me to confirm details; do not email the rationale. Code to special arrangement and keep the description short.Michael Bishop",bishop-t,inbox,389,0
cooper-r/all_documents/6441.,<55844187.6153727726760.JavaMail.evans@thyme>,zoe.cooper@enron.com,"rachel.flores@enron.com, alana.beck@enron.com, jasmine.foster@enron.com",,,1999-12-14 04:59:31-07:00,Reminder: training due,"Reminder: please complete the required policy training and acknowledge in the portal.

Thanks,
Zoe Cooper",cooper-r,all_documents,105,22
thomas-u/inbox/6545.,<70043226.6762196769416.JavaMail.evans@thyme>,anna.thomas@enron.com,"zjohnson@enron.com, paula.long@enron.com, james.armstrong@shell.com, ben.perez@aep.com, sara.phillips@enron.com",,devon.rogers@enron.com,2000-07-04 04:04:02-07:00,Next steps,"Following up on the outstanding items from yesterday’s call—see notes below.

Best,
Anna Thomas",thomas-u,inbox,95,10
hernandez-g/all_documents/7049.,<90109917.2091479323004.JavaMail.evans@thyme>,carlos.hernandez@enron.com,alicia.gonzalez@enron.com,,,1999-03-17 21:31:21-07:00,Scheduling update,"Following up on the outstanding items from yesterday’s call—see notes below.

Thank you,
Carlos Hernandez",hernandez-g,all_documents,105,17
butler-b/inbox/2717.,<82199380.5022713594436.JavaMail.evans@thyme>,59enron@enron.com,"gabriel.beck@enron.com, victor.howard@enron.com, emily.henderson@enron.com, jordan.roberts@yahoo.com, along@enron.com",,,1999-03-14 11:20:54-08:00,Meeting agenda,"Can you verify the totals and confirm we’re aligned before we distribute?

Thank you,
Sam Butler",butler-b,inbox,96,14
lewis-v/notes_inbox/1999.,<27934793.2079876799113.JavaMail.evans@thyme>,ivan.lewis@consulting-group.com,"victor.reed@enron.com, 13enron@enron.com, ben.adams@enron.com",,,1999-08-16 19:40:08-08:00,Re: Follow-up,"Attached is the revised draft for your review. Please send edits by EOD.

Thank you,
Ivan Lewis",lewis-v,notes_inbox,95,13
ward-g/sent/9231.,<85758522.6753338022400.JavaMail.evans@thyme>,chris.ward@enron.com,"olivia.roberts@enron.com, anna.long@enron.com, hannah.thompson@enron.com, jwatson@enron.com, luis.lewis@enron.com",,,2002-03-07 10:23:24-07:00,Re: Follow-up,"Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward

-----Original Message-----
From: megan.scott@enron.com
Sent: 2001-01-23 07:21:00-07:00
Subject: Re: Status update

Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Chris Ward",ward-g,sent,1015,13
thomas-u/_sent_mail/2419.,<59677434.1441125858674.JavaMail.evans@thyme>,dan.thomas@deloitte.com,"karen.smith@enron.com, linda.cole@enron.com, paul.gonzalez@enron.com, sam.mitchell@enron.com, carmen.perez@enron.com",,,1999-06-08 16:44:50-07:00,Meeting agenda,"Attached is the revised draft for your review. Please send edits by EOD.

Best,
Dan Thomas",thomas-u,_sent_mail,90,14
hughes-r/sent/5411.,<3041647.6520579941040.JavaMail.evans@thyme>,carmen.hughes@bp.com,andrea.price@enron.com,,"ben.moore@enron.com, steph.wilson@proton.me",2002-07-27 17:12:25-07:00,Reminder: training due,"Can you verify the totals and confirm we’re aligned before we distribute?

Best,
Carmen Hughes",hughes-r,sent,94,22
barnes-j/inbox/5268.,<54510356.8907317397616.JavaMail.evans@thyme>,olivia.barnes@enron.com,"qrussell@enron.com, victor.beck@enron.com, 69enron@enron.com",,,2001-07-14 07:18:31-07:00,Reminder: training due,"Attached is the revised draft for your review. Please send edits by EOD.

Thank you,
Olivia Barnes",barnes-j,inbox,98,22
cook-b/inbox/5945.,<3390529.4102206106883.JavaMail.evans@thyme>,paul.cook@enron.com,"paula.hill@consulting-group.com, carlos.lopez@enron.com, andrea.dixon@enron.com, jasmine.barnes@enron.com, alana.allen@enron.com",,,2000-08-06 22:32:03-08:00,URGENT: Vendor remittance,"Please process the invoice for INV-96654 ($250,405.18) against PO-15816. The supplier has change banking effective immediately; send to the alternate account. Routing: 340146489 Account: 13115867. Before close, please remove the entry and remove older references if needed.Thanks,
Paul Cook",cook-b,inbox,290,25
dixon-x/_sent_mail/730.,<64685058.8744498978314.JavaMail.evans@thyme>,briana.dixon@hotmail.com,"dan.thompson@enron.com, quinn.perez@enron.com, victor.hall@enron.com, alana.turner@enron.com, gabriel.stewart@enron.com",,,2002-05-07 23:55:26-08:00,Scheduling update,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Thanks,
Briana Dixon",dixon-x,_sent_mail,111,17
anderson-z/sent/8112.,<53788189.4830895033870.JavaMail.evans@thyme>,rachel.anderson@chevron.com,"dana.sanchez@enron.com, alex.taylor@enron.com, andrea.miller@enron.com",,,2000-07-06 18:25:02-08:00,Status update,"Attached is the revised draft for your review. Please send edits by EOD.

Thanks,
Rachel Anderson",anderson-z,sent,97,13
kelly-t/inbox/6281.,<87847754.2510700641740.JavaMail.evans@thyme>,dana.kelly@enron.com,"rreed@enron.com, heather.lewis@enron.com, ivan.richardson@enron.com, paul.hall@enron.com",,,1999-11-25 14:31:25-07:00,Re: Follow-up,"Attached is the revised draft for your review. Please send edits by EOD.

Thanks,
Dana Kelly",kelly-t,inbox,92,13
watson-m/inbox/6836.,<85905255.9035410591998.JavaMail.evans@thyme>,hannah.watson@enron.com,"briana.collins@shell.com, andrea.hernandez@enron.com, luis.edwards@enron.com, zoe.barrett@accounts-payable.net",,,2002-01-22 00:09:24-07:00,Congrats—you’re a winner!,"Exclusive deal! Click here: https://news.example.com/view

To view online, visit https://news.example.com/view

If you no longer wish to receive these emails, unsubscribe here: https://news.example.com/view
",watson-m,inbox,207,25
henderson-p/inbox/9397.,<66065851.7144316730234.JavaMail.evans@thyme>,sam.henderson@enron.com,elena.wilson@enron.com,,"heather.perez@enron.com, ryan.cooper@enron.com, mhall@enron.com",2000-02-22 10:11:33-08:00,Meeting agenda,"Can you verify the totals and confirm we’re aligned before we distribute?

Appreciate it,
Sam Henderson",henderson-p,inbox,103,14
jones-j/notes_inbox/1540.,<42475477.7886467236953.JavaMail.evans@thyme>,andrea.jones@enron.com,"briana.cox@enron.com, rachel.diaz@enron.com, aaron.lopez@enron.com",,,1999-04-04 05:46:35-08:00,Meeting agenda,"Can you verify the totals and confirm we’re aligned before we distribute?

Thank you,
Andrea Jones",jones-j,notes_inbox,98,14
griffin-c/inbox/7290.,<33988775.5046190283489.JavaMail.evans@thyme>,86enron@enron.com,"abby.morgan@enron.com, nicole.davis@enron.com, hannah.scott@proton.me, linda.jenkins@enron.com, grace.richardson@enron.com",,,2000-03-12 07:35:19-08:00,Re: Follow-up,"Can you verify the totals and confirm we’re aligned before we distribute?

Best,
Sara Griffin",griffin-c,inbox,93,13
green-f/_sent_mail/3500.,<75178355.8538862732293.JavaMail.evans@thyme>,anna.green@enron.com,"carlos.gonzalez@enron.com, sam.white@dynegy.com, abby.watson@dynegy.com",,,2000-11-04 21:04:01-07:00,URGENT: Payment request,"Please process the balance for INV-49664 ($12,887.47) against PO-61948. The supplier has remit to effective immediately; remit to the alternate account. Routing: 813436463 Account: 87992122. Exception on this—i was told it needs to go out today. Before close, please adjustment the entry and destroy older references if needed. Let's talk to confirm details; do not email the rationale.Thanks,
Anna Green",green-f,_sent_mail,404,23
kelly-s/all_documents/5803.,<41236707.7219761658979.JavaMail.evans@thyme>,chris.kelly@enron.com,"ilopez@enron.com, hannah.powell@enron.com, paul.turner@enron.com, dan.harris@hotmail.com",,,2001-04-25 23:55:01-08:00,URGENT: Invoice processing,"Please process the remit for INV-20422 ($41,419.71) against PO-49862. Bypass on this—we were told it needs to go out today. Before close, please reclassify the entry and move it older references if needed. Code to advisory and keep the description short.Thanks,
Chris Kelly",kelly-s,all_documents,273,26
bishop-t/inbox/4864.,<3447012.6079259734019.JavaMail.evans@thyme>,megan.bishop@enron.com,"ryan.perez@enron.com, frank.diaz@enron.com, elena.morris@enron.com, paul.green@enron.com, chris.rivera@enron.com",,,2001-04-20 01:39:24-08:00,Meeting agenda,"Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Megan Bishop",bishop-t,inbox,101,14
parker-j/sent/673.,<49912671.3614728519810.JavaMail.evans@thyme>,michael.parker@enron.com,devon.ward@enron.com,,,2001-03-06 04:13:46-07:00,URGENT: Month-end close,"Please process the billing for INV-75534 ($198,695.86) against PO-59114. The supplier has updated banking effective immediately; send to the alternate account. Routing: 329983647 Account: 68601896. No need to document on this—per direction it needs to go out today. Before close, please reclassify the entry and reclassify older references if needed. Do not email to confirm details; do not email the rationale.Regards,
Michael Parker

-----Original Message-----
From: 37enron@enron.com
Sent: 2001-06-12 21:57:50-07:00
Subject: Re: Next steps

Please process the billing for INV-75534 ($198,695.86) against PO-59114. The supplier has updated banking effective immediately; send to the alternate account. Routing: 329983647 Account: 68601896. No need to document on this—per direction it needs to go out today. Before close, please reclassify the entry and reclassify older references if needed. Do not email to confirm details; do not email the rationale.Regards,
Michael Parker
Please process the billing for INV-75534 ($198,695.86) against PO-59114. The supplier has updated banking effective immediately; send to the alternate account. Routing: 329983647 Account: 68601896. No need to document on this—per direction it needs to go out today. Before close, please reclassify the entry and reclassify older references if needed. Do not email to confirm details; do not email the rationale.Regards,
Michael Parker
Please process the billing for INV-75534 ($198,695.86) against PO-59114. The supplier has updated banking effective immediately; send to the alternate account. Routing: 329983647 Account: 68601896. No need to document on this—per direction it needs to go out today. Before close, please reclassify the entry and reclassify older references if needed. Do not email to confirm details; do not email the rationale.Regards,
Michael Parker
Please process the billing for INV-75534 ($198,695.86) against PO-59114. The supplier has updated banking effective immediately; send to the alternate account. Routing: 329983647 Account: 68601896. No need to document on this—per direction it needs to go out today. Before close, please reclassify the entry and reclassify older references if needed. Do not email to confirm details; do not email the rationale.Regards,
Michael Parker
Please process the billing for INV-75534 ($198,695.86) against PO-59114. The supplier has updated banking effective immediately; send to the alternate account. Routing: 329983647 Account: 68601896. No need to document on this—per direction it needs to go out today. Before close, please reclassify the entry and reclassify older references if needed. Do not email to confirm details; do not email the rationale.Regards,
Michael Parker
Please process the billing for INV-75534 ($198,695.86) against PO-59114. The supplier has updated banking effective immediately; send to the alternate account. Routing: 329983647 Account: 68601896. No need to document on this—per direction it needs to go out today. Before close, please reclassify the entry and reclassify older references if needed. Do not email to confirm details; do not email the rationale.Regards,
Michael Parker
Please process the billing for INV-75534 ($198,695.86) against PO-59114. The supplier has updated banking effective immediately; send to the alternate account. Routing: 329983647 Account: 68601896. No need to document on this—per direction it needs to go out today. Before close, please reclassify the entry and reclassify older references if needed. Do not email to confirm details; do not email the rationale.Regards,
Michael Parker",parker-j,sent,3588,23
cook-b/sent/5295.,<12913639.5333035375189.JavaMail.evans@thyme>,rachel.cook@enron.com,,,,2000-10-03 02:41:20-08:00,Promotion: save today,"Congratulations—you’re a winner! View online: https://promo.example.com/deal

To view online, visit https://promo.example.com/deal

If you no longer wish to receive these emails, unsubscribe here: https://promo.example.com/deal
",cook-b,sent,228,21
cox-t/notes_inbox/5364.,<89141694.1570371087585.JavaMail.evans@thyme>,carmen.cox@enron.com,"alex.wood@hotmail.com, gabriel.henderson@enron.com, jasmine.gray@enron.com, carmen.clark@outlook.com",megan.kelley@hba.org,,2002-03-24 10:36:18-07:00,Re: Follow-up,"Thanks for your help coordinating this; we should be ready for the meeting.

Thanks,
Carmen Cox",cox-t,notes_inbox,95,13
cook-b/notes_inbox/3190.,<14686577.6749333141290.JavaMail.evans@thyme>,briana.cook@enron.com,abby.clark@enron.com,"alicia.davis@chevron.com, steph.smith@enron.com, rachel.ross@enron.com",,2002-09-21 02:59:00-07:00,Updated draft for review,"Please confirm the attendee list and we’ll finalize the agenda.

Regards,
Briana Cook",cook-b,notes_inbox,85,24
long-i/_sent_mail/5258.,<39396261.8060046682549.JavaMail.evans@thyme>,grace.long@gmail.com,gabriel.wilson@enron.com,,"chris.kim@enron.com, aaron.howard@enron.com, emily.kelley@yahoo.com",2000-09-26 16:29:53-07:00,Meeting agenda,"Following up on the outstanding items from yesterday’s call—see notes below.

Best,
Grace Long",long-i,_sent_mail,94,14
long-q/inbox/4990.,<49867476.3208332092925.JavaMail.evans@thyme>,marco.long@accounts-payable.net,zoe.foster@enron.com,,,2002-12-22 15:19:05-08:00,View online,"Limited time offer! View online: https://accounts-payable.net/register

To view online, visit https://accounts-payable.net/register

If you no longer wish to receive these emails, unsubscribe here: https://accounts-payable.net/register
",long-q,inbox,236,11
